Division;Polling Place;ALP TPP Vote;ALP TPP Pc;ALP Swing;Coalition TPP Vote;Coalition Party;TPP Exhausted;Informal Vote
Banks;Beverly Hills North;1499;57.74;-4.47;1097;LP;0;218
Banks;Beverly Hills South (Banks);424;60.66;2.32;275;LP;0;47
Banks;East Hills;533;50.76;-6.09;517;LP;0;89
Banks;Hannans Road;1624;67.36;-2.33;787;LP;0;208
Banks;Lugarno;986;33.01;-2.00;2001;LP;0;151
Banks;Milperra;1092;45.05;-6.33;1332;LP;0;144
Banks;Mortdale Central;1073;55.74;-3.94;852;LP;0;155
Banks;Mortdale Heights;436;44.86;-3.10;536;LP;0;76
Banks;Mortdale West;990;52.13;-4.05;909;LP;0;130
Banks;Narwee;1492;54.29;-6.58;1256;LP;0;236
Banks;Oatley (Banks);239;41.49;2.04;337;LP;0;31
Banks;Oatley West;1077;44.03;0.75;1369;LP;0;123
Banks;Padstow;1958;56.49;-7.94;1508;LP;0;301
Banks;Padstow East;816;53.93;-7.19;697;LP;0;94
Banks;Padstow North;282;51.93;-6.76;261;LP;0;47
Banks;Padstow South;1235;46.89;-5.16;1399;LP;0;193
Banks;Panania;961;55.94;-3.85;757;LP;0;121
Banks;Panania Central;752;53.91;-7.99;643;LP;0;94
Banks;Panania North;1056;55.84;-6.54;835;LP;0;126
Banks;Panania South;1297;47.42;-5.95;1438;LP;0;169
Banks;Peakhurst;285;55.13;-6.49;232;LP;0;33
Banks;Peakhurst East;880;53.76;-5.64;757;LP;0;141
Banks;Peakhurst South;656;38.10;-4.23;1066;LP;0;120
Banks;Peakhurst West;1164;45.34;-6.26;1403;LP;0;176
Banks;Penshurst;895;56.36;-1.91;693;LP;0;143
Banks;Penshurst Central;1145;59.05;-5.44;794;LP;0;195
Banks;Picnic Point North;898;43.51;-5.46;1166;LP;0;106
Banks;Punchbowl (Banks);1450;73.90;-3.21;512;LP;0;245
Banks;Revesby;1032;65.65;-4.82;540;LP;0;148
Banks;Revesby North;1701;59.71;-4.40;1148;LP;0;245
Banks;Revesby South;1281;51.86;-5.58;1189;LP;0;200
Banks;Riverwood North;1010;72.14;-5.72;390;LP;0;171
Banks;Riverwood South;848;57.77;-2.99;620;LP;0;118
Banks;Special Hospital Team 1;67;49.63;-0.75;68;LP;0;3
Banks;Sydney (Banks);76;61.79;-1.37;47;LP;0;6
Banks;ABSENT;2514;51.93;;2327;LP;0;390
Banks;POSTAL;1479;51.91;;1370;LP;0;65
Banks;PRE POLL;1518;51.28;;1442;LP;0;103
Banks;PROVISIONAL;231;63.64;;132;LP;0;37
Barton;Allawah;880;61.71;-3.91;546;LP;0;96
Barton;Allawah South;572;58.13;-2.65;412;LP;0;81
Barton;Arncliffe;924;70.37;-4.58;389;LP;0;131
Barton;Athelstane;1740;69.57;-6.45;761;LP;0;244
Barton;Bald Face;417;26.63;2.16;1149;LP;0;64
Barton;Banksia;1242;73.93;-4.02;438;LP;0;193
Barton;Bell Park;357;51.22;-5.66;340;LP;0;49
Barton;Bexley;1409;60.60;-6.80;916;LP;0;198
Barton;Bexley Central;545;63.37;-4.36;315;LP;0;72
Barton;Bexley East;811;66.69;-2.39;405;LP;0;106
Barton;Bexley South;261;67.97;-1.66;123;LP;0;15
Barton;Blakehurst;371;45.08;0.41;452;LP;0;68
Barton;Bona Park;352;50.07;-5.38;351;LP;0;41
