State;Ticket;Group;Ballot Position;Member;Candidate;Party;Gender;Order Elected;Term Expires
NSW;A;HAN;1;;MCKINNON, Don;HAN;M;0;
NSW;A;HAN;2;;PUTRA, Rick;HAN;M;0;
NSW;A;HAN;3;;DEENEY, Carol;HAN;F;0;
NSW;B;CTA;1;;CAPSIS, George;CTA;M;0;
NSW;B;CTA;2;;HUME, Kevin;CTA;M;0;
NSW;C;UNI;1;;NGO, Thang;UNI;M;0;
NSW;C;UNI;2;;MCLEOD, Robert;UNI;M;0;
NSW;D;CEC;1;;BUTLER, Robert;CEC;M;0;
NSW;D;CEC;2;;COLLINS, Glenys;CEC;F;0;
NSW;E;PLP;1;;WOLDRING, Klaas;PLP;M;0;
NSW;E;PLP;2;;LEE, Shona;PLP;F;0;
NSW;F;OCF;1;;CALDICOTT, Helen;OCF;F;0;
NSW;F;OCF;2;;POTTS, Ted;OCF;M;0;
NSW;G;DEM;1;;BOURNE, Vicki;DEM;F;0;
NSW;G;DEM;2;;YATES, Joanne;DEM;F;0;
NSW;G;DEM;3;;CHUNG, Craig;DEM;M;0;
NSW;G;DEM;4;;MAYFIELD, E Caroline;DEM;F;0;
NSW;G;DEM;5;;PRINCE, Janine;DEM;F;0;
NSW;G;DEM;6;;EVANS, Julian;DEM;M;0;
NSW;H;HMP;1;;BALDERSTONE, Michael;HMP;M;0;
NSW;H;HMP;2;;FUGGLE, Don;HMP;M;0;
NSW;I;RLS;1;;GREENAWAY, Denise;RLS;F;0;
NSW;I;RLS;2;;ARMSTRONG, Valerie;RLS;F;0;
NSW;J;ACL;1;#;STEPHENS, Ursula;ALP;F;2;30-06-2008
NSW;J;ACL;2;#;CAMPBELL, George;ALP;M;4;30-06-2008
NSW;J;ACL;3;;MUNDINE, Warren;ALP;M;0;
NSW;J;ACL;4;;WOODS, Joanna;ALP;F;0;
NSW;K;LEF;1;;O'LOUGHLIN, David;LEF;M;0;
NSW;K;LEF;2;;FREEMAN, Paul;LEF;M;0;
NSW;L;;1;;STEWART, Lex;;M;0;
NSW;L;;2;;STEWART, Joe;;M;0;
NSW;M;FPY;1;;SMITH, Robert;FPY;M;0;
NSW;M;FPY;2;;WISEMAN, David;FPY;M;0;
NSW;N;;1;;SMITH, Warren;;M;0;
NSW;N;;2;;LAWLER, Geoff;;M;0;
NSW;N;;3;;ANTHONY, Dora;;F;0;
NSW;O;NCP;1;;THOMPSON, Andy;NCP;M;0;
NSW;O;NCP;2;;MCKEEGAN, Annette;NCP;F;0;
NSW;P;NDP;1;;DENBOROUGH, Michael;NDP;M;0;
NSW;P;NDP;2;;FRANCIS, Yvonne;NDP;F;0;
NSW;Q;LNP;1;#;COONAN, Helen;LP;F;1;30-06-2008
NSW;Q;LNP;2;#;MACDONALD, Sandy;NP;M;3;30-06-2008
NSW;Q;LNP;3;#;PAYNE, Marise;LP;F;5;30-06-2008
NSW;Q;LNP;4;;NASH, Fiona;NP;F;0;
NSW;Q;LNP;5;;MACDONALD, Scot;LP;M;0;
NSW;Q;LNP;6;;TANG, Terence;LP;M;0;
NSW;R;NGST;1;;GALLAGHER, Mick;NGST;M;0;
NSW;R;NGST;2;;MARTIN, Charles H;NGST;M;0;
NSW;S;RPA;1;;MCNALLY, Kerry;RPA;M;0;
NSW;S;RPA;2;;JORDAN, Tom;RPA;M;0;
NSW;T;GRN;1;#;NETTLE, Kerry;GRN;F;6;30-06-2008
NSW;T;GRN;2;;KAYE, John;GRN;M;0;
NSW;T;GRN;3;;DAVIS, Jan;GRN;F;0;
NSW;T;GRN;4;;RYAN, James;GRN;M;0;
NSW;U;;1;;HINMAN, Pip;;F;0;
NSW;U;;2;;RINTOUL, Ian;;M;0;
NSW;V;AAP;1;;CONNOR, Rex;AAP;M;0;
NSW;V;AAP;2;;ASTRIDGE, Robert;AAP;M;0;
NSW;V;AAP;3;;GUY, Shirley;AAP;F;0;
NSW;W;AFI;1;;KITSON, David;AFI;M;0;
NSW;W;AFI;2;;WOODGER, Edwin;AFI;M;0;
NSW;UG;;1;;IVOR, F;IND;M;0;
NSW;UG;;2;;TINYOW, Walter;IND;M;0;
NSW;UG;;3;;BAKER, Beverly;IND;F;0;
NSW;UG;;4;;LORD, Jack;IND;M;0;
VIC;A;LFF;1;;PATHY, Suresh;LFF;M;0;
VIC;A;LFF;2;;LUGG, John;LFF;M;0;
VIC;B;DLP;1;;MULHOLLAND, John;DLP;M;0;
VIC;B;DLP;2;;CREA, Pat;DLP;M;0;
VIC;B;DLP;3;;KING, Gail;DLP;F;0;
VIC;B;DLP;4;;MAURUS, Rosemary;DLP;F;0;
VIC;B;DLP;5;;WELLS, Ken;DLP;M;0;
VIC;C;PCA;1;;CLEARY, Phil;PCA;M;0;
VIC;C;PCA;2;;ZOMBOLAS, Eileen;PCA;F;0;
VIC;D;CEC;1;;ISHERWOOD, Noelene;CEC;F;0;
VIC;D;CEC;2;;BARWICK, Robert;CEC;M;0;
VIC;E;;1;;TOSCANO, Joseph;;M;0;
VIC;E;;2;;REGHENZANI, Stephen;;M;0;
VIC;F;;1;;RASKOVY, Steve;;M;0;
VIC;F;;2;;KENNEDY, Elizabeth;;F;0;
VIC;G;HAN;1;;SPENCER, Robyn;HAN;F;0;
VIC;G;HAN;2;;MCINTYRE, Neville;HAN;M;0;
VIC;H;LNP;1;#;ALSTON, Richard Kenneth Robert;LP;M;1;30-06-2008
VIC;H;LNP;2;#;KEMP, Rod;LP;M;3;30-06-2008
VIC;H;LNP;3;#;PATTERSON, Kay;LP;F;5;30-06-2008
VIC;H;LNP;4;;HAWKER, Tim;NP;M;0;
VIC;H;LNP;5;;DE MARCHI, Dino;LP;M;0;
VIC;H;LNP;6;;TRAN, Duc-Dung;LP;M;0;
VIC;I;UNI;1;;LEE, Wellington;UNI;M;0;
