CED,Electorate,State
101,Banks,NSW
102,Barton,NSW
103,Bennelong,NSW
104,Berowra,NSW
105,Blaxland,NSW
106,Bradfield,NSW
107,Calare,NSW
108,Charlton,NSW
109,Chifley,NSW
110,Cook,NSW
111,Cowper,NSW
112,Cunningham,NSW
113,Dobell,NSW
114,Eden-Monaro,NSW
115,Farrer,NSW
116,Fowler,NSW
117,Gilmore,NSW
118,Grayndler,NSW
119,Greenway,NSW
120,Gwydir,NSW
121,Hughes,NSW
122,Hume,NSW
123,Hunter,NSW
124,Kingsford Smith,NSW
125,Lindsay,NSW
126,Lowe,NSW
127,Lyne,NSW
128,Macarthur,NSW
129,Mackellar,NSW
130,Macquarie,NSW
131,Mitchell,NSW
132,New England,NSW
133,Newcastle,NSW
134,North Sydney,NSW
135,Page,NSW
136,Parkes,NSW
137,Parramatta,NSW
138,Paterson,NSW
139,Prospect,NSW
140,Reid,NSW
141,Richmond,NSW
142,Riverina,NSW
143,Robertson,NSW
144,Shortland,NSW
145,Sydney,NSW
146,Throsby,NSW
147,Warringah,NSW
148,Watson,NSW
149,Wentworth,NSW
150,Werriwa,NSW
201,Aston,VIC
202,Ballarat,VIC
203,Batman,VIC
204,Bendigo,VIC
205,Bruce,VIC
206,Burke,VIC
207,Calwell,VIC
208,Casey,VIC
209,Chisholm,VIC
210,Corangamite,VIC
211,Corio,VIC
212,Deakin,VIC
213,Dunkley,VIC
214,Flinders,VIC
215,Gellibrand,VIC
216,Gippsland,VIC
217,Goldstein,VIC
218,Higgins,VIC
219,Holt,VIC
220,Hotham,VIC
221,Indi,VIC
222,Isaacs,VIC
223,Jagajaga,VIC
224,Kooyong,VIC
225,Lalor,VIC
226,La Trobe,VIC
227,Mcewen,VIC
228,Mcmillan,VIC
229,Mallee,VIC
230,Maribyrnong,VIC
231,Melbourne,VIC
232,Melbourne Ports,VIC
233,Menzies,VIC
234,Murray,VIC
235,Scullin,VIC
236,Wannon,VIC
237,Wills,VIC
301,Blair,QLD
302,Bowman,QLD
303,Brisbane,QLD
304,Capricornia,QLD
305,Dawson,QLD
306,Dickson,QLD
307,Fadden,QLD
308,Fairfax,QLD
309,Fisher,QLD
310,Forde,QLD
311,Griffith,QLD
312,Groom,QLD
313,Herbert,QLD
314,Hinkler,QLD
315,Kennedy,QLD
316,Leichhardt,QLD
317,Lilley,QLD
318,Longman,QLD
319,Maranoa,QLD
320,Mcpherson,QLD
321,Moncrieff,QLD
322,Moreton,QLD
323,Oxley,QLD
324,Petrie,QLD
325,Rankin,QLD
326,Ryan,QLD
327,Wide Bay,QLD
401,Adelaide,SA
402,Barker,SA
403,Bonython,SA
404,Boothby,SA
405,Grey,SA
406,Hindmarsh,SA
407,Kingston,SA
408,Makin,SA
409,Mayo,SA
410,Port Adelaide,SA
411,Sturt,SA
412,Wakefield,SA
501,Brand,WA
502,Canning,WA
503,Cowan,WA
504,Curtin,WA
505,Forrest,WA
506,Fremantle,WA
507,Hasluck,WA
508,Kalgoorlie,WA
509,Moore,WA
510,OÕConnor,WA
511,Pearce,WA
512,Perth,WA
513,Stirling,WA
514,Swan,WA
515,Tangney,WA
601,Bass,TAS
602,Braddon,TAS
603,Denison,TAS
604,Franklin,TAS
605,Lyons,TAS
701,Lingiari,NT
702,Solomon,NT
801,Canberra,ACT
802,Fraser,ACT
