CED,Electorate,State
101,Banks,NSW
102,Barton,NSW
103,Bennelong,NSW
104,Berowra,NSW
105,Blaxland,NSW
106,Bradfield,NSW
107,Calare,NSW
108,Charlton,NSW
109,Chifley,NSW
110,Cook,NSW
111,Cowper,NSW
112,Cunningham,NSW
113,Dobell,NSW
114,Eden-Monaro,NSW
115,Farrer,NSW
116,Fowler,NSW
117,Gilmore,NSW
118,Grayndler,NSW
119,Greenway,NSW
120,Gwydir,NSW
121,Hughes,NSW
122,Hume,NSW
123,Hunter,NSW
124,Kingsford Smith,NSW
125,Lindsay,NSW
126,Lowe,NSW
127,Lyne,NSW
128,Macarthur,NSW
129,Mackellar,NSW
130,Macquarie,NSW
131,Mitchell,NSW
132,New England,NSW
133,Newcastle,NSW
134,North Sydney,NSW
135,Page,NSW
136,Parkes,NSW
137,Parramatta,NSW
138,Paterson,NSW
139,Prospect,NSW
140,Reid,NSW
141,Richmond,NSW
142,Riverina,NSW
143,Robertson,NSW
144,Shortland,NSW
145,Sydney,NSW
146,Throsby,NSW
147,Warringah,NSW
148,Watson,NSW
149,Wentworth,NSW
150,Werriwa,NSW
201,Aston,VIC
202,Ballarat,VIC
203,Batman,VIC
204,Bendigo,VIC
205,Bruce,VIC
206,Calwell,VIC
207,Casey,VIC
208,Chisholm,VIC
209,Corangamite,VIC
210,Corio,VIC
211,Deakin,VIC
212,Dunkley,VIC
213,Flinders,VIC
214,Gellibrand,VIC
215,Gippsland,VIC
216,Goldstein,VIC
217,Gorton,VIC
218,Higgins,VIC
219,Holt,VIC
220,Hotham,VIC
221,Indi,VIC
222,Isaacs,VIC
223,Jagajaga,VIC
224,Kooyong,VIC
225,La Trobe,VIC
226,Lalor,VIC
227,Mallee,VIC
228,Maribyrnong,VIC
229,McEwen,VIC
230,McMillan,VIC
231,Melbourne,VIC
232,Melbourne Ports,VIC
233,Menzies,VIC
234,Murray,VIC
235,Scullin,VIC
236,Wannon,VIC
237,Wills,VIC
301,Blair,QLD
302,Bonner,QLD
303,Bowman,QLD
304,Brisbane,QLD
305,Capricornia,QLD
306,Dawson,QLD
307,Dickson,QLD
308,Fadden,QLD
309,Fairfax,QLD
310,Fisher,QLD
311,Forde,QLD
312,Griffith,QLD
313,Groom,QLD
314,Herbert,QLD
315,Hinkler,QLD
316,Kennedy,QLD
317,Leichhardt,QLD
318,Lilley,QLD
319,Longman,QLD
320,Maranoa,QLD
321,McPherson,QLD
322,Moncrieff,QLD
323,Moreton,QLD
324,Oxley,QLD
325,Petrie,QLD
326,Rankin,QLD
327,Ryan,QLD
328,Wide Bay,QLD
401,Adelaide,SA
402,Barker,SA
403,Boothby,SA
404,Grey,SA
405,Hindmarsh,SA
406,Kingston,SA
407,Makin,SA
408,Mayo,SA
409,Port Adelaide,SA
410,Sturt,SA
411,Wakefield,SA
501,Brand,WA
502,Canning,WA
503,Cowan,WA
504,Curtin,WA
505,Forrest,WA
506,Fremantle,WA
507,Hasluck,WA
508,Kalgoorlie,WA
509,Moore,WA
510,O'Connor,WA
511,Pearce,WA
512,Perth,WA
513,Stirling,WA
514,Swan,WA
515,Tangney,WA
601,Bass,TAS
602,Braddon,TAS
603,Denison,TAS
604,Franklin,TAS
605,Lyons,TAS
701,Lingiari,NT
702,Solomon,NT
801,Canberra,ACT
802,Fraser,ACT
