State,Electorate
SA,ADELAIDE
VIC,ASTON
VIC,BALLARAT
NSW,BANKS
SA,BARKER
NSW,BARTON
TAS,BASS
VIC,BATMAN
VIC,BENDIGO
NSW,BENNELONG
NSW,BEROWRA
QLD,BLAIR
NSW,BLAXLAND
QLD,BONNER
SA,BOOTHBY
QLD,BOWMAN
TAS,BRADDON
NSW,BRADFIELD
WA,BRAND
QLD,BRISBANE
VIC,BRUCE
NSW,CALARE
VIC,CALWELL
ACT,CANBERRA
WA,CANNING
QLD,CAPRICORNIA
VIC,CASEY
NSW,CHARLTON
NSW,CHIFLEY
VIC,CHISHOLM
NSW,COOK
VIC,CORANGAMITE
VIC,CORIO
WA,COWAN
NSW,COWPER
NSW,CUNNINGHAM
WA,CURTIN
QLD,DAWSON
VIC,DEAKIN
TAS,DENISON
QLD,DICKSON
NSW,DOBELL
VIC,DUNKLEY
NSW,EDEN-MONARO
QLD,FADDEN
QLD,FAIRFAX
NSW,FARRER
QLD,FISHER
VIC,FLINDERS
QLD,FLYNN
QLD,FORDE
WA,FORREST
NSW,FOWLER
TAS,FRANKLIN
ACT,FRASER
WA,FREMANTLE
VIC,GELLIBRAND
NSW,GILMORE
VIC,GIPPSLAND
VIC,GOLDSTEIN
VIC,GORTON
NSW,GRAYNDLER
NSW,GREENWAY
SA,GREY
QLD,GRIFFITH
QLD,GROOM
WA,HASLUCK
QLD,HERBERT
VIC,HIGGINS
SA,HINDMARSH
QLD,HINKLER
VIC,HOLT
VIC,HOTHAM
NSW,HUGHES
NSW,HUME
NSW,HUNTER
VIC,INDI
VIC,ISAACS
VIC,JAGAJAGA
WA,KALGOORLIE
QLD,KENNEDY
NSW,KINGSFORD SMITH
SA,KINGSTON
VIC,KOOYONG
VIC,LA TROBE
VIC,LALOR
QLD,LEICHHARDT
QLD,LILLEY
NSW,LINDSAY
NT,LINGIARI
QLD,LONGMAN
NSW,LOWE
NSW,LYNE
TAS,LYONS
NSW,MACARTHUR
NSW,MACKELLAR
NSW,MACQUARIE
SA,MAKIN
VIC,MALLEE
QLD,MARANOA
VIC,MARIBYRNONG
SA,MAYO
VIC,MCEWEN
VIC,MCMILLAN
QLD,MCPHERSON
VIC,MELBOURNE
VIC,MELBOURNE PORTS
VIC,MENZIES
NSW,MITCHELL
QLD,MONCRIEFF
WA,MOORE
QLD,MORETON
VIC,MURRAY
NSW,NEW ENGLAND
NSW,NEWCASTLE
NSW,NORTH SYDNEY
WA,O'CONNOR
QLD,OXLEY
NSW,PAGE
NSW,PARKES
NSW,PARRAMATTA
NSW,PATERSON
WA,PEARCE
WA,PERTH
QLD,PETRIE
SA,PORT ADELAIDE
NSW,PROSPECT
QLD,RANKIN
NSW,REID
NSW,RICHMOND
NSW,RIVERINA
NSW,ROBERTSON
QLD,RYAN
VIC,SCULLIN
NSW,SHORTLAND
NT,SOLOMON
WA,STIRLING
SA,STURT
WA,SWAN
NSW,SYDNEY
WA,TANGNEY
NSW,THROSBY
SA,WAKEFIELD
VIC,WANNON
NSW,WARRINGAH
NSW,WATSON
NSW,WENTWORTH
NSW,WERRIWA
QLD,WIDE BAY
VIC,WILLS
