State,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceTypeID,PollingPlaceNm,PremisesNm,PremisesAddress1,PremisesAddress2,PremisesAddress3,PremisesSuburb,PremisesStateAb,PremisesPostCode,Latitude,Longitude
ACT,101,Canberra,8829,1,Barton,Telopea Park School,New South Wales Cres,,,BARTON,ACT,2600,-35.3151000,149.1350000
ACT,101,Canberra,64583,5,Belconnen CANBERRA PPVC,Belconnen Community Centre,Swanson Ct,,,BELCONNEN,ACT,2617,-35.2390037,149.0696950
ACT,101,Canberra,65504,5,BLV Canberra PPVC,BLV Canberra,1st Floor,8-10 Hobart Pl,,CANBERRA CITY,ACT,2601,-35.2790544,149.1263791
ACT,101,Canberra,11877,1,Bonython,Bonython Primary School,Hurtle Ave,,,BONYTHON,ACT,2905,-35.4318000,149.0830000
ACT,101,Canberra,11452,1,Calwell,Calwell High School,Casey Cres,,,CALWELL,ACT,2905,-35.4406700,149.1176000
ACT,101,Canberra,8761,1,Chapman,Chapman Primary School,Perry Dr,,,CHAPMAN,ACT,2611,-35.3564000,149.0420000
ACT,101,Canberra,8763,1,Chisholm,Caroline Chisholm School,Hambidge Cres,,,CHISHOLM,ACT,2905,-35.4189000,149.1230000
ACT,101,Canberra,58708,5,City CANBERRA PPVC,Pilgrim House,69 Northbourne Ave,,,CANBERRA CITY,ACT,2601,-35.2784167,149.1294692
ACT,101,Canberra,31298,1,Conder,Charles Conder Primary School,Tom Roberts Ave,,,CONDER,ACT,2906,-35.4649000,149.0980000
ACT,101,Canberra,8764,1,Curtin,Curtin Primary School,Theodore St,,,CURTIN,ACT,2605,-35.3317000,149.0800000
ACT,101,Canberra,8766,1,Deakin,CGGS Junior School,Grey St,,,DEAKIN,ACT,2600,-35.3125000,149.1110000
ACT,101,Canberra,30092,5,Divisional Office (PREPOLL),Divisional Office,1st Floor,8-10 Hobart Pl,,CANBERRA CITY,ACT,2601,-35.2790990,149.1264040
ACT,101,Canberra,8767,1,Duffy,Duffy Primary School,Burrinjuck Cres,,,DUFFY,ACT,2611,-35.3347000,149.0320000
ACT,101,Canberra,8768,1,Fadden,Fadden Primary School,Hanlon Cres,,,FADDEN,ACT,2904,-35.4044000,149.1180000
ACT,101,Canberra,8769,1,Farrer,Farrer Primary School,Lambrigg St,,,FARRER,ACT,2607,-35.3790000,149.1070000
ACT,101,Canberra,8794,1,Garran,Garran Primary School,136 Gilmore Cres,,,GARRAN,ACT,2605,-35.3439760,149.1036890
ACT,101,Canberra,8771,1,Gilmore,Gilmore Primary School,Heagney Cres,,,GILMORE,ACT,2905,-35.4147000,149.1330000
ACT,101,Canberra,12072,1,Gordon,Gordon Primary School,Knoke St,,,GORDON,ACT,2906,-35.4555000,149.0870000
ACT,101,Canberra,8772,1,Gowrie,Gowrie Primary School,Jeffries St,,,GOWRIE,ACT,2904,-35.4136000,149.1110000
ACT,101,Canberra,8817,1,Griffith,St Edmund's College,Canberra Ave,,,GRIFFITH,ACT,2603,-35.3222000,149.1450000
ACT,101,Canberra,8773,1,Holder,St Jude's Primary School,Mulley St,,,HOLDER,ACT,2611,-35.3348000,149.0500000
ACT,101,Canberra,8774,1,Hughes,Hughes Primary School,Kent St,,,HUGHES,ACT,2605,-35.3313000,149.0940000
ACT,101,Canberra,8884,1,Isabella Plains,Isabella Plains Early Childhood School,Ellerston Ave,,,ISABELLA PLAINS,ACT,2905,-35.4287000,149.0890000
ACT,101,Canberra,8776,1,Kambah North,St Stephen's Anglican Church,Kett St & Marconi Cres,,,KAMBAH,ACT,2902,-35.3787349,149.0594796
ACT,101,Canberra,8777,1,Kambah South,Namadgi School,O'Halloran Crct,,,KAMBAH,ACT,2902,-35.3924756,149.0675370
ACT,101,Canberra,8778,1,Kambah West,St Thomas the Apostle School,Boddington Cres,,,KAMBAH,ACT,2902,-35.3806000,149.0530000
ACT,101,Canberra,8779,1,Lyons,Lyons Early Childhood School,Tarraleah Cres,,,LYONS,ACT,2606,-35.3420000,149.0760000
ACT,101,Canberra,8780,1,Mawson,Mawson Primary School,Ainsworth St,,,MAWSON,ACT,2607,-35.3585000,149.0970000
