StateAb,GivenNm,Surname,PartyNm,PartyAb,ElectedOrder
ACT,Kate,LUNDY,Australian Labor Party,ALP,1
ACT,Zed,SESELJA,Liberal,LP,2
NSW,Marise,PAYNE,Liberal,LP,1
NSW,Bob,CARR,Labor,ALP,2
NSW,John,WILLIAMS,The Nationals,NP,3
NSW,Doug,CAMERON,Labor,ALP,4
NSW,David,LEYONHJELM,Liberal Democrats,LDP,5
NSW,Arthur,SINODINOS,Liberal,LP,6
NT,Nigel,SCULLION,Country Liberals (NT),CLP,1
NT,Nova,PERIS,Australian Labor Party (Northern Territory) Branch,ALP,2
QLD,Ian,MACDONALD,Liberal National Party of Queensland,LNP,1
QLD,Chris,KETTER,Australian Labor Party,ALP,2
QLD,James,McGRATH,Liberal National Party of Queensland,LNP,3
QLD,Claire,MOORE,Australian Labor Party,ALP,4
QLD,Glenn Patrick,LAZARUS,Palmer United Party,PUP,5
QLD,Matthew,CANAVAN,Liberal National Party of Queensland,LNP,6
SA,Cory,BERNARDI,Liberal,LP,1
SA,Nick,XENOPHON,Nick Xenophon Group,XEN,2
SA,Penny,WONG,Australian Labor Party,ALP,3
SA,Sarah,HANSON-YOUNG,Australian Greens,GRN,4
SA,Bob,DAY,Family First,FFP,5
SA,Simon,BIRMINGHAM,Liberal,LP,6
TAS,Richard,COLBECK,Liberal,LP,1
TAS,Carol,BROWN,Australian Labor Party,ALP,2
TAS,David,BUSHBY,Liberal,LP,3
TAS,Catryna,BILYK,Australian Labor Party,ALP,4
TAS,Peter,WHISH-WILSON,Australian Greens,GRN,5
TAS,Jacqui,LAMBIE,Palmer United Party,PUP,6
VIC,Mitch,FIFIELD,Liberal,LP,1
VIC,Gavin,MARSHALL,Australian Labor Party,ALP,2
VIC,Scott,RYAN,Liberal,LP,3
VIC,Jacinta,COLLINS,Australian Labor Party,ALP,4
VIC,Janet,RICE,The Greens,GRN,5
VIC,Ricky,MUIR,Australian Motoring Enthusiast Party,AMEP,6
WA,David,JOHNSTON,Liberal,LP,1
WA,Joe,BULLOCK,Australian Labor Party,ALP,2
WA,Michaelia,CASH,Liberal,LP,3
WA,Linda,REYNOLDS,Liberal,LP,4
WA,Wayne,DROPULICH,Australian Sports Party,SPRT,5
WA,Scott,LUDLAM,The Greens (WA),GRN,6
