StateCo,StateAb,DivName,DivId,DivCo,PPName,Status,PremisesName,Address1,Address2,Address3,Locality,AddrStateAb,Postcode,PPId,AdvBoothLocation,AdvGateAccess,EntrancesDesc,Lat,Long,CCD,WheelchairAccess,OrdVoteEst,DecVoteEst,NoOrdIssuingOff,NoOfDecIssuingOff
"2","NSW","Banks","103","1","Allawah","Current","P J Ferry Hall","cnr Bellevue Pde & Blakesley Rd","","","ALLAWAH","NSW","2218","31","","","Blakesley Rd Bellevue Pde","-33.9767897","151.1148974","1361509","Assisted","1406","96","3","1"
"2","NSW","Banks","103","1","Allawah South","Current","St Raphael's Church Hall","84 George St"," ","","SOUTH HURSTVILLE","NSW","2221","67","","","Russell La George St","-33.9756000","151.1110000","1361510","None","882","47","2","1"
"2","NSW","Banks","103","1","Beverly Hills North (Banks)","Current","Beverly Hills North Public School","cnr Shorter Ave & King Georges Rd","","","BEVERLY HILLS","NSW","2209","56500","","","Entrance:Shorter Ave","-33.9413000","151.0750000","1350302","None","382","0","0","1"
"2","NSW","Banks","103","1","Beverly Hills South","Current","Beverly Hills Public School","cnr Stoney Creek & King Georges Rds"," ","","BEVERLY HILLS","NSW","2209","2646","","","King Georges Rd","-33.9528000","151.0850000","1360804","Assisted","1141","132","2","2"
"2","NSW","Banks","103","1","Blakehurst North","Current","Blakehurst High School","270A Woniora Rd"," ","","BLAKEHURST","NSW","2221","46","","","Woniora Rd","-33.9814000","151.1130000","1361602","Assisted","713","85","2","1"
"2","NSW","Banks","103","1","Blakehurst South","Current","Bald Face Public School","84 Stuart St"," ","","BLAKEHURST","NSW","2221","33","","","Stuart St","-33.9964550","151.1066889","1361404","Assisted","1811","84","4","1"
"2","NSW","Banks","103","1","Carlton South (Banks)","Current","Carlton South Public School","Jubilee Avenue"," ","","CARLTON","NSW","2218","56472","","Jubilee Ave & Ecole St","School gate in Jubilee Avenue, Carlton School gate in Ecole Street, Carlton","-33.9727000","151.1280000","1361703","Assisted","411","7","0","1"
"2","NSW","Banks","103","1","Carlton West","Current","St Cuthbert's Church Hall","34 Park Rd"," ","","CARLTON","NSW","2218","65","","","Park Rd","-33.9763447","151.1206652","1361704","Assisted","1214","247","3","3"
"2","NSW","Banks","103","1","Connells Point","Current","Connells Point Public School","Riverview Ave"," ","","CONNELLS POINT","NSW","2221","42","","","Riverview Ave","-33.9855000","151.1000000","1361410","Assisted","2984","164","5","2"
"2","NSW","Banks","103","1","Hurstville","Current","Hurstville Senior Citizens Centre","91 Queens Rd","","","HURSTVILLE","NSW","2220","2663","","","Queens Rd","-33.9642000","151.1020000","1360709","Full","1406","247","4","3"
